Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1959,42.7,43.5,46.3,52.1,56.1,61.9,67.8,64.4,59.3,54.2,46.7,43.5
1960,42.2,44.7,46.2,52.4,55.4,61.6,67.6,63.4,60.1,55.1,46.9,43
1961,46.5,46.9,47.9,50.2,56.6,64.7,67.8,69.2,60.9,53.2,45,42.4
1962,41.5,45.4,45.3,53,54.2,61.2,65.1,64.9,62.1,55.7,49.1,45.5
1963,37.4,50.3,46.8,50.7,58.5,59.9,63.6,65.3,64.5,56.1,47.6,44.6
1964,43.4,44.1,46.3,49.6,55.7,60.2,65.3,64.3,60.6,55.9,45.2,39.3
1965,42.7,44.6,48.9,52.5,54.6,62.5,67.1,66,59.7,57.3,51.4,43.4
1966,43.8,46.1,48.4,52.6,57,61.2,64.5,66.3,63.6,54.6,49.1,47.1
1967,45,45.9,45.1,49,57.7,65.2,67.3,70.5,66.3,55.9,49.9,43.7
1968,43,50.6,50.2,50.6,58.6,61.9,68.5,64.8,61.3,54.3,49.5,39.5
1969,34.8,43.2,48.4,50.7,59.9,65,64.9,63.5,61,54,47.7,46
1970,42.9,48.3,48.2,49.7,57.3,64.3,66.2,65.4,59.9,52.4,47.2,40.9
1971,41.6,42.6,43.4,50.9,56,58.1,66,68.4,60.6,51.8,47,39.1
1972,38.2,43.2,48.3,48.1,58.9,60.1,65.9,66.2,57.8,51.6,-999,39.1
1973,39.5,44.7,46.7,50.5,57.4,60.6,65.6,62.2,61.3,52.8,43.4,44.2
1974,39.3,43.4,45.4,49.8,53.8,61,64.2,66.3,64.8,54.1,47.9,44.4
1975,41.7,42.1,44.3,47.3,55.8,59.6,66.1,62.8,62.3,52.7,45.9,43.3
1976,44,42.9,43.9,51.2,56,59.1,65,63,61.7,54,47.9,44.3
1977,39.6,47.5,44.8,52.2,53.6,61.4,63,68,58.6,52.2,44.4,42
1978,43.6,46.1,49,50.6,54.9,63.8,65.3,64.9,59,54.7,42,38.2
1979,36.2,42.2,49.3,51.1,57.8,61.3,66.3,65.2,63.2,55,45,44.8
1980,36.6,45.2,46.9,53.4,56,59.1,64.5,63.2,61.5,55,48.4,45.7
1981,45.5,45.5,50.4,52.2,56.7,60,65.1,69.4,62.2,52.5,48.5,42.5
1982,40.8,43.2,45.6,48.7,56.1,64.2,64,65.1,61.3,53.6,43.7,42.1
1983,46,47.8,50.2,52.6,59.1,61.6,64.5,66.6,59.2,53.1,48.9,37
1984,44.5,46.3,49.9,50.6,55.1,60.3,65.7,65.5,60.3,51.5,46.1,38.4
1985,39.1,40.5,44.8,50.6,56.8,61.5,69.5,65.6,58.8,52.6,37.3,38.1
1986,45.3,43.5,50.4,49.6,57.4,63.6,63.1,69.2,60.8,55.7,47.4,43.5
1987,42.8,47.6,50.1,54.6,59.3,63.5,64.5,65.7,62.1,55.4,49.1,40.2
1988,41.3,45.6,46.6,51.4,56.4,60.3,65.3,64.7,60.3,55.6,46.4,42.4
1989,41.8,36.6,44.4,53.7,56.1,63,63.8,64.6,62.6,53.3,47.8,44
1990,43.5,41.3,47.9,52.9,56.6,61.2,68,67.5,63,51.9,48.1,36.4
1991,40.7,48.3,44.6,49.6,55.5,58.6,66.3,66.8,62,52.3,47.4,42.5
1992,43.2,46.9,50,53.8,59.5,65,66.4,67,58.8,53.6,45,39.5
1993,39.2,42.3,48.8,51.7,61.2,62,62.9,66.2,62.7,56,43.1,41.9
1994,45.6,41.6,48.3,53,58.6,61,68.2,68,65,53.7,43,41.9
1995,44.3,45.7,47.5,51.6,59.9,63.2,67.8,63.5,64.8,53.6,50.3,43.1
1996,41.4,43.6,48.2,52.4,53.8,60.8,67.6,67,60.1,52.7,45.1,40.1
1997,42,43.8,45.8,50.6,60.2,61.4,66.4,69.3,63.7,53.4,49.4,42.9
1998,43,46.1,48.1,52.1,55.6,60.8,-999,-999,-999,-999,-999,41
1999,-999,-999,-999,-999,-999,-999,-999,65.7,61.1,52.9,48,43
2000,41,44.2,45,51.5,54.1,61.3,65.1,64.5,61.3,53.4,43.5,41.2
2001,42.5,41.3,46.1,49,55.3,58.8,63.9,66,61,51.6,47.8,42.3
2002,41.7,42.6,42.8,48.9,53.7,61.8,65.4,66,61.2,52.1,48.2,43.9
2003,45.8,42.5,47.5,49.7,55.5,62.8,68.2,67.1,63.1,55.5,43.4,42.3
2004,41.1,44.8,48.2,53.4,57.8,63.4,68.6,68.8,60.1,54.3,46.2,43.3
2005,42.8,43,49.3,51.7,59.1,60.6,66.1,67.4,59.9,54.9,44,41.8
2006,44.6,41.3,46,50.1,56.3,62.7,67.3,65.4,62.3,52.6,45.1,41.5
2007,39.2,44.4,47.3,50.8,55.7,60.5,68.1,66,60.6,51.5,44.9,40.8
2008,39.5,44.1,44,47,55.7,58.1,64.6,66.5,60.9,52.2,49.7,38
2009,39.7,41.9,42.8,49.1,55.7,63.4,69.1,66.7,62.6,52.7,47.2,38.1
2010,46.1,46.6,47.7,50.3,53.6,59.2,64.4,65.3,62.3,54.7,44.7,43.9
2011,42.6,40.1,46.5,46.9,52.9,59.4,63.5,66.4,64.6,53.6,44.1,40.7
2012,40.3,43.9,44.4,51.7,55.2,58.7,64.6,67.7,62.8,54.2,47.4,42.3
2013,39,44.3,47.5,50.2,58,63.9,67.1,69,63.2,51.2,46,38.5
2014,42.9,40.7,47.9,52.5,59.6,62.1,69,69.5,64.7,58.6,46.2,45.1
2015,45.4,48.3,50.7,51.9,59.1,67.1,70.9,68.4,60.4,57.5,44.5,43.4
2016,43.5,47.7,49.4,56.3,59.2,63.6,67,68.6,61.4,55.4,51.3,38.5
2017,38.7,41.6,46.5,50.8,58.1,62.6,67,69.7,64.9,53.2,46.6,40.5
2018,44.9,41.4,46.2,50.6,60.8,62,70,68.5,62.3,53.4,48.2,43.5
2019,44,36.6,47.4,52,59.5,62,65.5,68.5,62.3,50.9,46.4,44.2
2020,44.2,43.6,44.6,51.8,58.7,61.5,65.8,67.2,65.4,54.1,46.6,44.1
