Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1943,46.3,46.9,50.5,61.4,72,81.3,79.9,80.9,70.7,60.8,50.9,44.5
1944,44.4,50.4,52.9,60.2,72.6,80.1,78.3,77.2,73.5,62.8,50.9,41.2
1945,43.2,48.7,61.8,63.7,66.6,78,79.2,78.2,76.2,61.4,53.2,38.5
1946,44.7,47.9,59.2,64.1,68.5,75.4,77.8,77.1,71.2,62.2,57.3,48.4
1947,45.9,38.7,45.3,63.5,68.9,75.5,77,79.1,75.1,66.5,48.8,45.4
1948,37.4,48.2,55.7,65.6,70.7,78.9,80.1,77.3,71.6,60.4,55,47.9
1949,51.8,51.6,53.3,59.8,71.7,76.2,79.8,77.9,70.8,67.1,51.1,45.6
1950,55.4,50.8,50.2,58.8,72.8,77.5,77.5,76.2,71.4,65.9,47.6,40.6
1951,45.3,47.5,53,60,70.1,77.5,79.1,80.9,73.8,65.1,47.5,47.1
1952,49.3,48.4,51.5,61.6,71.9,82.3,82,78.2,71.5,58.9,52.8,43.6
1953,47,47.4,54.6,59.5,73.3,78.2,78.7,78.9,72.2,64,52.7,43.8
1954,45.1,50.1,53,65.5,64.2,78,82.1,82.5,77.8,64.5,49.5,43.7
1955,43.6,47.6,56,65.9,72.6,72.9,79.1,80.1,75.3,61.9,50.6,43.3
1956,41.5,51.1,53.9,61,72.4,76.8,79.3,80.3,72,64.8,50.4,54.3
1957,45.9,54.6,51.5,64.3,70.7,77.8,79,79.5,73.3,58.4,53.7,46.7
1958,38.9,37.7,49.8,62.3,70.7,77,78.7,78.9,74,62,56.5,42.7
1959,42.2,47.6,51.2,62.9,72.2,76.6,79.1,80.5,73.3,64.8,51.8,46.3
1960,44.2,43.7,41.8,63.7,68.5,76.8,80.3,78.9,74,65.7,52.6,40.7
1961,38.5,49.5,54.6,56.4,65.1,72.7,76.3,75.6,73,61.1,55.3,43.5
1962,41,50.1,47.8,57.6,74.1,75.5,78.5,76.6,70,62.7,49,40.3
1963,37.2,38.9,56.4,62.9,68.8,74.3,75.8,77.6,70.9,65,51.5,35.5
1964,40.8,40.2,51.2,60.6,68.9,77.8,76.5,75.9,72.6,58.8,55.6,46.5
1965,43.2,43.8,48.8,63.3,71.8,71.7,76.6,77.3,72.8,60.2,53.8,44.8
1966,36.6,43.2,50.2,60.6,67.5,73.3,78.2,75.3,70.5,59.4,52.1,43.4
1967,43.9,41.8,56.7,65,66.2,72.5,74.1,74,66.5,59.3,48.5,47.7
1968,39.2,38.2,52.3,60.9,67.3,75.6,77.6,79,71.5,61.7,50.1,40.2
